"Date","SPSS","SAS","RStudio"
2015-11-13,78,87,86
2015-11-20,85,88,82
2015-11-27,80,77,74
2015-12-04,84,78,79
2015-12-11,83,75,81
2015-12-18,75,78,75
2015-12-25,52,61,57
2016-01-01,44,60,44
2016-01-08,63,80,73
2016-01-15,69,85,83
2016-01-22,69,85,91
2016-01-29,68,89,92
2016-02-05,65,89,93
2016-02-12,65,84,93
2016-02-19,65,83,89
2016-02-26,70,84,91
2016-03-04,71,85,89
2016-03-11,74,84,95
2016-03-18,73,82,93
2016-03-25,71,73,86
2016-04-01,74,82,91
2016-04-08,80,85,94
2016-04-15,85,85,93
2016-04-22,88,86,100
2016-04-29,86,82,94
